relative_time_s,power_total_W
0.0,4938.09
0.1,5002.156001797586
0.2,4913.684172142875
0.30000000000000004,4660.940929343281
0.4,4935.8420477376
0.5,5319.732063926723
0.6000000000000001,5435.947663365026
0.7000000000000001,5460.662202111208
0.8,5476.7226248421985
0.9,5499.974486562455
1.0,5523.842346963284
1.1,5504.207656059953
1.2000000000000002,5374.547428058385
1.3,5222.39091049864
1.4000000000000001,5340.953169384079
1.5,5356.7208146166495
1.6,5347.914639322622
1.7000000000000002,5474.651965618074
1.8,5463.397768730551
1.9000000000000001,5110.942323002654
2.0,4748.612254793006
2.1,4984.9006107958185
2.2,5085.8569150691
2.3000000000000003,4838.775991947653
2.4000000000000004,4525.959331348292
2.5,4942.673477789718
2.6,5462.189636357311
2.7,5338.650322762371
2.8000000000000003,5338.476921198041
2.9000000000000004,5347.9373783788815
3.0,5483.444791578501
3.1,5560.29769772561
3.2,5420.3588308699655
3.3000000000000003,5477.8163207985235
3.4000000000000004,5324.689724101679
3.5,5281.9660323490725
3.6,5340.27354281752
3.7,5393.400677895012
3.8000000000000003,5445.171841863369
3.9000000000000004,5434.131536803328
4.0,5290.6815623847315
4.1000000000000005,5200.575059361649
4.2,5237.103852442508
4.3,5216.891189975504
4.4,5200.413648046417
4.5,4998.281997219317
4.6000000000000005,4982.216678026543
4.7,4705.88930683524
4.800000000000001,4488.2708053126435
4.9,4606.395826125559
5.0,4878.201351906746
5.1000000000000005,4714.853794980842
5.2,4739.437169067566
5.300000000000001,4715.061008438851
5.4,4787.374498854137
5.5,4842.526204460054
5.6000000000000005,4636.820010006886
5.7,4796.128757689394
5.800000000000001,5020.105940601924
5.9,4772.052146786502
6.0,4571.536867153545
6.1000000000000005,4553.324531864092
6.2,4692.475926612007
6.300000000000001,5239.912892587649
6.4,4960.818519553566
6.5,4665.222256084368
6.6000000000000005,4730.143693630517
6.7,4799.198103827275
6.800000000000001,4855.9391735174395
6.9,4675.922169961852
7.0,4810.889614680212
7.1000000000000005,5103.406186081757
7.2,5219.271143240036
7.300000000000001,4917.860143004735
7.4,4736.1828319889055
7.5,4661.638928036829
7.6000000000000005,4721.839933807047
7.7,4988.097861709439
7.800000000000001,5216.702837919547
7.9,5092.529393576828
8.0,4936.022088419116
8.1,4886.796567298513
8.200000000000001,5052.132947635238
8.3,5178.546102151633
8.4,5204.654994953258
8.5,4727.330114747224
8.6,5094.6885717957875
8.700000000000001,4995.350900237325
8.8,4844.9403175945545
8.9,5008.437792971536
9.0,4741.2374118635225
9.1,4811.468454615855
9.200000000000001,5155.986560393447
9.3,5275.377181480043
9.4,5336.329672017233
9.5,5172.101656010751
9.600000000000001,4648.07736493719
9.700000000000001,4819.20651994758
9.8,5017.452684002346
9.9,5108.968816372863
10.0,5060.633493096825
10.100000000000001,5162.035995037007
10.200000000000001,5205.067771121521
10.3,5237.444595832927
10.4,5137.009227968851
10.5,4706.840788577474
10.600000000000001,4671.8608889300895
10.700000000000001,4892.233406928285
10.8,4931.952281664318
10.9,4921.253479399076
11.0,5109.284942504253
11.100000000000001,5123.274817870802
11.200000000000001,4945.127244161254
11.3,4590.297284886523
11.4,4610.349316370567
11.5,4614.437153043718
11.600000000000001,4702.6790714815
11.700000000000001,4541.626702796159
11.8,4597.553068800679
11.9,4620.353401765687
12.0,4764.773217970011
12.100000000000001,4993.421792343436
12.200000000000001,4994.437130619771
12.3,4873.361822310969
12.4,4859.270028160639
12.5,5010.229770552507
12.600000000000001,4890.45992656511
12.700000000000001,4820.75351106197
