relative_time_s,power_total_W
0.0,1024.835
0.1,1020.7112188824553
0.2,1013.6109518679752
0.30000000000000004,1035.4066838013453
0.4,1065.672460035026
0.5,1056.9719815790413
0.6000000000000001,1039.5977091148661
0.7000000000000001,1018.2472101599767
0.8,1045.1767209394418
0.9,1044.4315004813145
1.0,1025.8084417093569
1.1,1022.3901676312698
1.2000000000000002,1052.6747331744848
1.3,1043.4502729612138
1.4000000000000001,1025.3539883485153
1.5,1038.9552231488453
1.6,1048.6895741264325
1.7000000000000002,1064.397011468492
1.8,1047.4308197007783
1.9000000000000001,1023.0299882639713
2.0,1038.147673270653
2.1,1074.2255995796877
2.2,1046.1584853161014
2.3000000000000003,1021.2972445967296
2.4000000000000004,1061.1366408086824
2.5,1035.2208732070185
2.6,1012.844968616285
2.7,1056.2492645338073
2.8000000000000003,1055.3153837877248
2.9000000000000004,1027.9652008635069
3.0,1045.8231687476173
3.1,1058.549038292164
3.2,1033.734286257638
3.3000000000000003,1042.6930754531224
3.4000000000000004,1073.637889225212
3.5,1049.2568872164863
3.6,1072.2037953604402
3.7,1038.1672674932986
3.8000000000000003,1032.4871967213742
3.9000000000000004,1082.8990327283902
4.0,1056.7348164965797
4.1000000000000005,1041.026462955665
4.2,1061.2865882150268
4.3,1067.6384204186475
4.4,1055.0318212777618
4.5,1074.2643237849932
4.6000000000000005,1061.4368438374895
4.7,1026.2378391905513
4.800000000000001,1069.243113488115
4.9,1044.8222396557392
5.0,1040.7456402615258
5.1000000000000005,1106.7823163461512
5.2,1062.0156175985205
5.300000000000001,1039.7484207096702
5.4,1069.181216031262
5.5,1068.2108850431748
5.6000000000000005,1043.879532194077
5.7,1042.668284414486
5.800000000000001,1034.1496423943793
5.9,1072.6280621032763
6.0,1025.7260784454352
6.1000000000000005,1072.070518450849
6.2,1040.745729074655
6.300000000000001,1066.3080655185233
6.4,1078.5570579965404
6.5,1056.4575443688852
6.6000000000000005,1049.5928207184456
6.7,1075.0148023694073
6.800000000000001,1050.266067103815
6.9,1087.8237222463142
7.0,1098.8074027458429
7.1000000000000005,1061.4707872273307
7.2,1085.4930142744136
7.300000000000001,1076.8779331462088
7.4,1044.395094329175
7.5,1095.5339518500605
7.6000000000000005,1060.8400455161277
7.7,1092.769166836235
7.800000000000001,1036.649047301191
7.9,1105.857521457725
8.0,1032.780913073107
8.1,1075.730773963702
8.200000000000001,1047.0889689093906
8.3,1032.5235141554172
8.4,1082.5706005799584
8.5,1043.2509966570244
8.6,1069.2493730083277
8.700000000000001,1052.1275646882777
8.8,1045.8562900200848
8.9,1089.0993996530885
9.0,1038.9249164969012
9.1,1103.1988028744343
9.200000000000001,1071.2946878564262
9.3,1065.5094382766001
9.4,1069.4847788407972
9.5,1059.5035532506522
9.600000000000001,1085.2690142620224
9.700000000000001,1053.643837963054
9.8,1085.4858436781
9.9,1040.8464449250607
10.0,1077.835549231341
10.100000000000001,1058.0153986647297
10.200000000000001,1093.6596060168645
10.3,1062.2384594827076
10.4,1081.050560588248
10.5,1068.8539667437888
10.600000000000001,1076.517136490267
10.700000000000001,1081.9488237758699
10.8,1055.3506723806079
10.9,1094.8172320901049
11.0,1040.2267926559905
11.100000000000001,1087.9850459892152
11.200000000000001,1077.1392439172243
11.3,1121.3761371187838
11.4,1077.8698557334394
11.5,1053.3577275629875
11.600000000000001,1033.980659307812
11.700000000000001,1078.0296725496084
11.8,1078.441620971166
11.9,1048.321885678068
12.0,1035.7244415814644
12.100000000000001,1101.702729095392
12.200000000000001,1062.5675595980827
12.3,1086.3299764821936
12.4,1080.435336336083
12.5,1080.7594123636172
12.600000000000001,1074.6691337971722
12.700000000000001,1077.6869441212357
12.8,1088.1713738434262
12.9,1049.9725262887523
13.0,1104.7144524523212
13.100000000000001,1064.7413136520472
13.200000000000001,1104.0137098331586
13.3,1051.653291903394
13.4,1088.8571794010843
13.5,1040.9536491622268
13.600000000000001,1096.8018825932288
13.700000000000001,1089.652450471779
13.8,1089.0635580554076
13.9,1063.711613571575
14.0,1117.9485009435716
14.100000000000001,1084.6006233554444
14.200000000000001,1073.5161247836495
14.3,1115.75889178213
14.4,1048.2358969121935
14.5,1107.1281355724625
14.600000000000001,1081.3134642648656
14.700000000000001,1085.068761432887
14.8,1046.719684821944
14.9,1110.6238310678618
15.0,1084.9573803583407
15.100000000000001,1066.8215652285387
15.200000000000001,1070.4613178478244
15.3,1049.1045146951396
15.4,1099.5315501610733
15.5,1048.1529460452484
15.600000000000001,1088.4692078353814
15.700000000000001,1078.7950214550374
15.8,1104.3552034578229
15.9,1055.5381731470034
16.0,1088.4819255729283
16.1,1051.7853996912002
16.2,1090.0698618291165
16.3,1062.6860811634467
16.400000000000002,1073.3958723138915
16.5,1083.2338856642482
16.6,1082.7984252406545
16.7,1068.2618108309284
16.8,1098.6487497557694
16.900000000000002,1068.0658193181162
17.0,1130.3402637525762
17.1,1069.3547200383157
17.2,1138.8651993280937
17.3,1075.3604584845375
17.400000000000002,1078.978451876755
17.5,1053.5875074697992
17.6,1123.8931570654865
17.7,1058.8945705932526
17.8,1106.5861097909608
17.900000000000002,1054.5829913445848
18.0,1077.0833483714168
18.1,1111.0204018060765
18.2,1056.3360946286155
18.3,1116.9174239138201
18.400000000000002,1081.4144533851172
18.5,1079.4403362767966
18.6,1100.0984780271958
18.7,1072.3135791478928
18.8,1085.556247925964
18.900000000000002,1074.6002958769388
19.0,1126.8488473113105
19.1,1072.3204205381649
19.200000000000003,1165.799014748837
19.3,1053.598541119117
19.400000000000002,1067.6781756053642
19.5,1116.9717937305957
19.6,1094.569338788222
19.700000000000003,1128.5708938284617
19.8,1002.9014187626888
19.900000000000002,1076.2157461728339
20.0,1046.924108735796
20.1,1082.5658124935665
20.200000000000003,1074.189966157638
20.3,1105.2757565835243
20.400000000000002,1048.877899996428
20.5,1122.393875271036
20.6,1091.464978933073
20.700000000000003,1142.1333011432334
20.8,1081.5952695148483
20.900000000000002,1117.9180401694618
21.0,1116.615672833976
21.1,1094.2014972772834
21.200000000000003,1131.3769083338075
21.3,1057.1535069991087
21.400000000000002,1047.7012684073218
21.5,1091.3963078523177
21.6,1055.8691321848628
21.700000000000003,1148.7049956934768
21.8,1110.8181717788339
21.900000000000002,1083.95752053087
22.0,1143.8867972822604
22.1,1080.9791476451455
22.200000000000003,1149.864016204856
22.3,1119.485108218564
22.400000000000002,1078.076770539475
22.5,1139.5012293034758
22.6,1104.1810628677354
22.700000000000003,1093.3663753056421
22.8,1102.0777613401287
22.900000000000002,1083.2613657329666
23.0,1104.4958660576428
23.1,1102.507801657405
23.200000000000003,1058.3493694215324
23.3,1103.2635410101839
23.400000000000002,1116.6064624666697
23.5,1064.4340539732993
23.6,1123.3320728946712
23.700000000000003,1118.4026967775742
23.8,1086.3233340437043
23.900000000000002,1135.4233673746542
24.0,1055.1793824966048
24.1,1120.5285948452304
24.200000000000003,1104.8236348247717
24.3,1070.5547402483833
24.400000000000002,1085.4781976329316
24.5,1140.248694726408
24.6,1105.975196066649
24.700000000000003,1127.3445141529596
24.8,1117.166536446166
24.900000000000002,1079.8060208932618
25.0,1126.9407628271265
25.1,1067.349239959302
25.200000000000003,1068.6949026727832
25.3,1099.2554507504583
25.400000000000002,1112.3850076135275
25.5,1069.5721046486415
25.6,1120.719577267864
25.700000000000003,1101.5363252267225
25.8,1076.5291901564192
25.900000000000002,1124.0405395131238
26.0,1152.3088081796823
26.1,1061.5546199163648
26.200000000000003,1119.281746830858
26.3,1115.8807648432398
26.400000000000002,1115.832443157102
26.5,1110.2432404283302
26.6,1107.06078987936
26.700000000000003,1131.6276273932056
26.8,1104.6820887649312
26.900000000000002,1104.9779119198251
27.0,1121.7583387327365
27.1,1045.3756252558553
27.200000000000003,1128.940762538899
27.3,1126.15701344094
27.400000000000002,1049.5695722963817
27.5,1127.2270489641958
27.6,1103.7774821204891
27.700000000000003,1089.3092989927932
27.8,1124.8037901984897
27.900000000000002,1135.224601334853
28.0,1058.8973389138687
28.1,1144.5095038682407
28.200000000000003,1141.013147026723
28.3,1063.3131467612498
28.400000000000002,1123.4606646739944
28.5,1117.7293376859182
28.6,1104.2971147133876
28.700000000000003,1079.1287088745087
28.8,1120.1210235315987
28.900000000000002,1147.582258082902
29.0,1135.8983872800966
29.1,1087.5412231253495
29.200000000000003,1144.2070452026499
29.3,1124.2534351759077
29.400000000000002,1082.0247525296306
29.5,1125.639077168258
29.6,1126.360040850248
29.700000000000003,1093.299916109424
29.8,1138.746158408661
29.900000000000002,1135.9711386910906
30.0,1086.1325724079936
30.1,1116.7808130816059
30.200000000000003,1148.7005814225859
30.3,1091.9986241412666
30.400000000000002,1116.7269354548985
30.5,1122.2481757940934
30.6,1141.0793094433109
30.700000000000003,1091.759209484831
30.8,1105.3943402445682
30.900000000000002,1136.8520522043868
31.0,1149.3327077303204
31.1,1070.2420524268937
31.200000000000003,1108.0414494204479
31.3,1146.7255644708694
31.400000000000002,1112.5821902893597
31.5,1072.814422888986
31.6,1146.0932160259551
31.700000000000003,1117.871839444296
31.8,1070.2878785912537
31.900000000000002,1119.7894959738696
32.0,1136.453734892964
32.1,1069.8230177771318
32.2,1062.5436906137998
32.300000000000004,1158.0063904081187
32.4,1135.9125968380126
32.5,1121.949913598601
32.6,1088.4862860759501
32.7,1130.4782810163015
32.800000000000004,1140.7212800705227
32.9,1155.209519624905
33.0,1073.2988267317887
33.1,1095.7058761509957
33.2,1169.7616734849476
33.300000000000004,1156.8405421731552
33.4,1097.382720321263
33.5,1121.4881048451077
33.6,1147.1127758951168
33.7,1067.4157403708011
33.800000000000004,1101.8394185493141
33.9,1122.2913038193474
34.0,1130.560419071034
34.1,1089.2220177387885
34.2,1104.5812619153824
34.300000000000004,1136.9820506044541
34.4,1145.3376427129554
34.5,1101.6610278573235
34.6,1080.8937276789075
34.7,1075.5427299115415
34.800000000000004,1105.6011399512606
34.9,1191.1545597964243
35.0,1102.845229404421
35.1,1071.5391455665547
35.2,1157.8579725810832
35.300000000000004,1153.9366330283765
35.4,1084.3889453128795
35.5,1115.0479118711335
35.6,1159.1632888050183
35.7,1115.7105953563917
35.800000000000004,1061.7314171727578
35.9,1086.9169221428488
36.0,1191.0139176171224
36.1,1112.8944420380521
36.2,1076.7618619860305
36.300000000000004,1071.0676740359927
36.4,1084.3130699226806
36.5,1166.3817696923927
36.6,1182.677509149472
36.7,1173.0198911426057
36.800000000000004,1156.78766545369
36.9,1015.5155501719138
37.0,1128.179192725297
37.1,1162.7748636614626
37.2,1118.9946998532241
37.300000000000004,1039.7697545961594
37.4,1128.076216552611
37.5,1148.8341426256927
37.6,1120.1439961702827
37.7,1042.9559389656083
37.800000000000004,1119.5344464418147
37.9,1181.6890667514929
38.0,1199.1835064472168
38.1,1127.5507393640812
38.2,1077.1663001684528
38.300000000000004,1144.912024621542
38.400000000000006,1115.2895119482923
38.5,1172.3524416180398
