dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations
632,Llama-3.1-8B,7138,7138,9993.2,9.9932,0
632,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,0
632,Llama-3.1-405B,888,7104,9945.6,9.9456,0
632,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,0
632,Qwen3-235B-A22B,888,7104,9945.6,9.9456,0
633,Llama-3.1-8B,5436,5436,7610.4,7.610399999999999,9
633,Llama-3.1-70B,1492,5968,8355.2,8.3552,6
633,Llama-3.1-405B,725,5800,8120.0,8.12,5
633,Qwen3-30B-A3B,3204,6408,8971.2,8.971200000000001,6
633,Qwen3-235B-A22B,801,6408,8971.2,8.971200000000001,4
670,Llama-3.1-8B,5710,5710,7994.0,7.994,9
670,Llama-3.1-70B,1487,5948,8327.2,8.327200000000001,6
670,Llama-3.1-405B,760,6080,8512.0,8.512,6
670,Qwen3-30B-A3B,3221,6442,9018.8,9.018799999999999,7
670,Qwen3-235B-A22B,805,6440,9016.0,9.016,5
671,Llama-3.1-8B,3742,3742,5238.8,5.2388,10
671,Llama-3.1-70B,967,3868,5415.2,5.4152,8
671,Llama-3.1-405B,497,3976,5566.4,5.5664,7
671,Qwen3-30B-A3B,2098,4196,5874.4,5.8744,8
671,Qwen3-235B-A22B,525,4200,5880.0,5.88,7
675,Llama-3.1-8B,3405,3405,4767.0,4.767,10
675,Llama-3.1-70B,888,3552,4972.8,4.9728,8
675,Llama-3.1-405B,455,3640,5096.0,5.096,7
675,Qwen3-30B-A3B,1911,3822,5350.8,5.3508000000000004,9
675,Qwen3-235B-A22B,478,3824,5353.6,5.3536,7
680,Llama-3.1-8B,3233,3233,4526.2,4.5262,10
680,Llama-3.1-70B,839,3356,4698.4,4.6983999999999995,8
680,Llama-3.1-405B,431,3448,4827.2,4.8271999999999995,7
680,Qwen3-30B-A3B,1824,3648,5107.2,5.1072,9
680,Qwen3-235B-A22B,454,3632,5084.8,5.0848,7
692,Llama-3.1-8B,3742,3742,5238.8,5.2388,10
692,Llama-3.1-70B,967,3868,5415.2,5.4152,8
692,Llama-3.1-405B,497,3976,5566.4,5.5664,7
692,Qwen3-30B-A3B,2098,4196,5874.4,5.8744,8
692,Qwen3-235B-A22B,525,4200,5880.0,5.88,7
