dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations
632,Llama-3.1-8B,7138,7138,9993.2,9.9932,0
632,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,0
632,Llama-3.1-405B,888,7104,9945.6,9.9456,0
632,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,0
632,Qwen3-235B-A22B,888,7104,9945.6,9.9456,0
633,Llama-3.1-8B,5603,5603,7844.2,7.8442,9
633,Llama-3.1-70B,1537,6148,8607.2,8.6072,6
633,Llama-3.1-405B,749,5992,8388.8,8.3888,5
633,Qwen3-30B-A3B,3306,6612,9256.8,9.2568,6
633,Qwen3-235B-A22B,825,6600,9240.0,9.24,4
670,Llama-3.1-8B,5816,5816,8142.4,8.1424,9
670,Llama-3.1-70B,1513,6052,8472.8,8.4728,6
670,Llama-3.1-405B,779,6232,8724.8,8.7248,5
670,Qwen3-30B-A3B,3281,6562,9186.8,9.1868,7
670,Qwen3-235B-A22B,815,6520,9128.0,9.128,4
671,Llama-3.1-8B,3788,3788,5303.2,5.3031999999999995,10
671,Llama-3.1-70B,984,3936,5510.4,5.5104,8
671,Llama-3.1-405B,506,4048,5667.2,5.6672,7
671,Qwen3-30B-A3B,2140,4280,5992.0,5.992,9
671,Qwen3-235B-A22B,535,4280,5992.0,5.992,7
675,Llama-3.1-8B,3494,3494,4891.6,4.8916,10
675,Llama-3.1-70B,925,3700,5180.0,5.18,8
675,Llama-3.1-405B,468,3744,5241.6,5.2416,7
675,Qwen3-30B-A3B,1978,3956,5538.4,5.538399999999999,9
675,Qwen3-235B-A22B,496,3968,5555.2,5.5552,7
680,Llama-3.1-8B,3310,3310,4634.0,4.634,10
680,Llama-3.1-70B,874,3496,4894.4,4.894399999999999,8
680,Llama-3.1-405B,444,3552,4972.8,4.9728,7
680,Qwen3-30B-A3B,1878,3756,5258.4,5.2584,9
680,Qwen3-235B-A22B,471,3768,5275.2,5.2752,7
692,Llama-3.1-8B,3788,3788,5303.2,5.3031999999999995,10
692,Llama-3.1-70B,984,3936,5510.4,5.5104,8
692,Llama-3.1-405B,506,4048,5667.2,5.6672,7
692,Qwen3-30B-A3B,2140,4280,5992.0,5.992,9
692,Qwen3-235B-A22B,535,4280,5992.0,5.992,7
