dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations
632,Llama-3.1-8B,7138,7138,9993.2,9.9932,0
632,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,0
632,Llama-3.1-405B,888,7104,9945.6,9.9456,0
632,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,0
632,Qwen3-235B-A22B,888,7104,9945.6,9.9456,0
633,Llama-3.1-8B,5854,5854,8195.6,8.1956,8
633,Llama-3.1-70B,1606,6424,8993.6,8.9936,5
633,Llama-3.1-405B,784,6272,8780.8,8.7808,5
633,Qwen3-30B-A3B,3455,6910,9674.0,9.674,5
633,Qwen3-235B-A22B,864,6912,9676.8,9.6768,3
670,Llama-3.1-8B,5927,5927,8297.8,8.297799999999999,9
670,Llama-3.1-70B,1539,6156,8618.4,8.6184,6
670,Llama-3.1-405B,788,6304,8825.6,8.8256,5
670,Qwen3-30B-A3B,3336,6672,9340.8,9.3408,6
670,Qwen3-235B-A22B,831,6648,9307.2,9.3072,4
671,Llama-3.1-8B,3862,3862,5406.8,5.4068000000000005,10
671,Llama-3.1-70B,1006,4024,5633.6,5.6336,8
671,Llama-3.1-405B,514,4112,5756.8,5.7568,7
671,Qwen3-30B-A3B,2175,4350,6090.0,6.09,9
671,Qwen3-235B-A22B,541,4328,6059.2,6.0592,6
675,Llama-3.1-8B,3646,3646,5104.4,5.1044,10
675,Llama-3.1-70B,974,3896,5454.4,5.4544,8
675,Llama-3.1-405B,484,3872,5420.8,5.4208,7
675,Qwen3-30B-A3B,2096,4192,5868.8,5.8688,8
675,Qwen3-235B-A22B,524,4192,5868.8,5.8688,6
680,Llama-3.1-8B,3468,3468,4855.2,4.8552,10
680,Llama-3.1-70B,939,3756,5258.4,5.2584,8
680,Llama-3.1-405B,463,3704,5185.6,5.1856,7
680,Qwen3-30B-A3B,2010,4020,5628.0,5.628,9
680,Qwen3-235B-A22B,506,4048,5667.2,5.6672,7
692,Llama-3.1-8B,3862,3862,5406.8,5.4068000000000005,10
692,Llama-3.1-70B,1006,4024,5633.6,5.6336,8
692,Llama-3.1-405B,514,4112,5756.8,5.7568,7
692,Qwen3-30B-A3B,2175,4350,6090.0,6.09,9
692,Qwen3-235B-A22B,541,4328,6059.2,6.0592,6
