dc_bus,hosting_capacity_kw,hosting_capacity_MW,limiting_model,limiting_max_gpus
814r,3854.2,3.8541999999999996,Llama-3.1-8B,2753
816,3830.4,3.8304,Llama-3.1-8B,2736
824,3411.8,3.4118000000000004,Llama-3.1-8B,2437
828,3382.4,3.3824,Llama-3.1-8B,2416
830,2752.4,2.7524,Llama-3.1-8B,1966
832,1776.6,1.7766,Llama-3.1-8B,1269
834,1747.2,1.7472,Llama-3.1-8B,1248
836,1747.2,1.7472,Llama-3.1-8B,1248
840,1747.2,1.7472,Llama-3.1-8B,1248
842,1747.2,1.7472,Llama-3.1-8B,1248
844,1747.2,1.7472,Llama-3.1-8B,1248
846,1747.2,1.7472,Llama-3.1-8B,1248
848,1747.2,1.7472,Llama-3.1-8B,1248
850,3854.2,3.8541999999999996,Llama-3.1-8B,2753
852,1850.8,1.8508,Llama-3.1-8B,1322
852r,1776.6,1.7766,Llama-3.1-8B,1269
854,2752.4,2.7524,Llama-3.1-8B,1966
858,1762.6,1.7626,Llama-3.1-8B,1259
860,1747.2,1.7472,Llama-3.1-8B,1248
862,1747.2,1.7472,Llama-3.1-8B,1248
