dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations
814r,Llama-3.1-8B,2753,2753,3854.2,3.8541999999999996,10
814r,Llama-3.1-70B,737,2948,4127.2,4.1272,8
814r,Llama-3.1-405B,367,2936,4110.4,4.110399999999999,7
814r,Qwen3-30B-A3B,1581,3162,4426.8,4.4268,9
814r,Qwen3-235B-A22B,395,3160,4424.0,4.424,7
816,Llama-3.1-8B,2736,2736,3830.4,3.8304,10
816,Llama-3.1-70B,748,2992,4188.8,4.1888000000000005,8
816,Llama-3.1-405B,364,2912,4076.8,4.0768,7
816,Qwen3-30B-A3B,1606,3212,4496.8,4.4968,9
816,Qwen3-235B-A22B,395,3160,4424.0,4.424,7
824,Llama-3.1-8B,2437,2437,3411.8,3.4118000000000004,10
824,Llama-3.1-70B,651,2604,3645.6,3.6456,8
824,Llama-3.1-405B,326,2608,3651.2,3.6512,7
824,Qwen3-30B-A3B,1400,2800,3920.0,3.92,9
824,Qwen3-235B-A22B,350,2800,3920.0,3.92,7
828,Llama-3.1-8B,2416,2416,3382.4,3.3824,10
828,Llama-3.1-70B,661,2644,3701.6,3.7016,8
828,Llama-3.1-405B,323,2584,3617.6,3.6176,7
828,Qwen3-30B-A3B,1390,2780,3892.0,3.892,9
828,Qwen3-235B-A22B,346,2768,3875.2,3.8752,7
830,Llama-3.1-8B,1966,1966,2752.4,2.7524,10
830,Llama-3.1-70B,526,2104,2945.6,2.9455999999999998,8
830,Llama-3.1-405B,256,2048,2867.2,2.8672,7
830,Qwen3-30B-A3B,1132,2264,3169.6,3.1696,9
830,Qwen3-235B-A22B,284,2272,3180.8,3.1808,7
832,Llama-3.1-8B,1342,1342,1878.8,1.8788,11
832,Llama-3.1-70B,348,1392,1948.8,1.9487999999999999,8
832,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
832,Qwen3-30B-A3B,753,1506,2108.4,2.1084,9
832,Qwen3-235B-A22B,189,1512,2116.8,2.1168,8
834,Llama-3.1-8B,1340,1340,1876.0,1.876,10
834,Llama-3.1-70B,346,1384,1937.6,1.9376,9
834,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
834,Qwen3-30B-A3B,749,1498,2097.2,2.0972,9
834,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
836,Llama-3.1-8B,1340,1340,1876.0,1.876,10
836,Llama-3.1-70B,346,1384,1937.6,1.9376,9
836,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
836,Qwen3-30B-A3B,749,1498,2097.2,2.0972,9
836,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
840,Llama-3.1-8B,1340,1340,1876.0,1.876,10
840,Llama-3.1-70B,346,1384,1937.6,1.9376,9
840,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
840,Qwen3-30B-A3B,749,1498,2097.2,2.0972,9
840,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
842,Llama-3.1-8B,1340,1340,1876.0,1.876,10
842,Llama-3.1-70B,346,1384,1937.6,1.9376,9
842,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
842,Qwen3-30B-A3B,749,1498,2097.2,2.0972,9
842,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
844,Llama-3.1-8B,1340,1340,1876.0,1.876,10
844,Llama-3.1-70B,346,1384,1937.6,1.9376,9
844,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
844,Qwen3-30B-A3B,749,1498,2097.2,2.0972,9
844,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
846,Llama-3.1-8B,1340,1340,1876.0,1.876,10
846,Llama-3.1-70B,346,1384,1937.6,1.9376,9
846,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
846,Qwen3-30B-A3B,749,1498,2097.2,2.0972,9
846,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
848,Llama-3.1-8B,1340,1340,1876.0,1.876,10
848,Llama-3.1-70B,346,1384,1937.6,1.9376,9
848,Llama-3.1-405B,177,1416,1982.4,1.9824000000000002,7
848,Qwen3-30B-A3B,746,1492,2088.8,2.0888,10
848,Qwen3-235B-A22B,184,1472,2060.8,2.0608,7
850,Llama-3.1-8B,2753,2753,3854.2,3.8541999999999996,10
850,Llama-3.1-70B,737,2948,4127.2,4.1272,8
850,Llama-3.1-405B,367,2936,4110.4,4.110399999999999,7
