mode,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax
baseline,997.3999999990929,31.58227091461255,0.9352786970203044,1.0503298626544442
rule_based,1248.2999999988647,16.57353861288395,0.9354645655431462,1.0506396381423027
ofo,118.99999999989177,0.10195207809011624,0.9429113266901519,1.0503518388561228
