param_name,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax,wall_time_s,avg_power_kw_per_phase__upstream,avg_batch__Llama-3.1-405B,n_batch_changes__Llama-3.1-405B,itl_violation_frac__Llama-3.1-405B,avg_throughput_tokens_per_s__Llama-3.1-405B,avg_batch__Llama-3.1-70B,n_batch_changes__Llama-3.1-70B,itl_violation_frac__Llama-3.1-70B,avg_throughput_tokens_per_s__Llama-3.1-70B,avg_batch__Llama-3.1-8B,n_batch_changes__Llama-3.1-8B,itl_violation_frac__Llama-3.1-8B,avg_throughput_tokens_per_s__Llama-3.1-8B,avg_power_kw_per_phase__downstream,avg_batch__Qwen3-235B-A22B,n_batch_changes__Qwen3-235B-A22B,itl_violation_frac__Qwen3-235B-A22B,avg_throughput_tokens_per_s__Qwen3-235B-A22B,avg_batch__Qwen3-30B-A3B,n_batch_changes__Qwen3-30B-A3B,itl_violation_frac__Qwen3-30B-A3B,avg_throughput_tokens_per_s__Qwen3-30B-A3B,param_value__upstream,param_value__downstream
primal_step_size,45.699999999958436,0.04713686599506664,0.9482129737077916,1.0513142302737735,15.869318399993062,545.900823085091,157.17822222222222,7,0.17844444444444443,157110.40462402452,252.27422222222222,11,0.027916666666666666,661077.8003306673,430.0337777777778,2,0.0,7269698.233563305,473.253827135343,89.50666666666666,6,0.0,479753.1164849679,298.5564444444444,5,0.0,3152835.0715366346,0.01,0.01
primal_step_size,44.29999999995971,0.05359225302362791,0.9478757844622003,1.0512703345985048,16.647877100003825,549.8478316782783,160.7008888888889,6,0.1746388888888889,162602.24417519098,272.41644444444444,8,0.03238888888888889,714420.6294288492,435.3671111111111,2,0.0,7286306.029120115,476.613353567272,159.61555555555555,9,0.0,836985.1551847062,374.0871111111111,21,0.0,3762364.017916534,0.01,0.025
primal_step_size,25.599999999976717,0.03421789583231633,0.9483056068435965,1.051064775369674,16.6151891000045,548.673513749887,167.1271111111111,6,0.1793611111111111,173543.59554121422,170.57955555555554,5,0.0,663309.5889215181,420.7182222222222,2,0.0,7240520.188929365,473.7994213673967,179.60666666666665,12,0.0,938113.5910501633,318.6377777777778,22,0.0,3185363.8545894916,0.01,0.05
primal_step_size,26.999999999975444,0.03853337668203642,0.9469446489943593,1.0512673353073876,20.018444100001943,545.8502789318857,165.74777777777777,3,0.18083333333333335,165527.08503205993,163.06333333333333,4,0.0,606389.888030465,422.21155555555555,2,0.0,7245207.958340669,473.3892542995201,286.5275555555556,11,0.0,1480126.9576523262,309.60044444444446,17,0.0,3108269.2113595367,0.01,0.1
primal_step_size,20.699999999981173,0.03861022031660826,0.9476638307415749,1.0518069628650029,17.066769700002624,550.04627312241,168.30333333333334,5,0.17705555555555555,173315.38010288926,176.14977777777779,6,0.0,666412.4050339189,410.19377777777777,2,0.0,7181852.39140105,477.82969817066936,336.98977777777776,24,0.0,1736108.0829093503,340.66044444444447,43,0.0,3402260.165293678,0.01,0.25
primal_step_size,31.199999999971624,0.038619692017005325,0.9480317944521224,1.0511565633049835,16.632284999999683,547.1104173097555,168.48177777777778,9,0.1996111111111111,166421.54155097864,297.42044444444446,7,0.04502777777777778,683147.5045662412,431.56266666666664,8,0.0,7219513.726061675,474.25620412239186,95.35288888888888,7,0.0,509281.99678167386,307.12533333333334,5,0.0,3247325.5261519486,0.025,0.01
primal_step_size,27.099999999975353,0.034154132015951,0.9480150730294248,1.051064775369674,17.68350510000164,545.9630276189783,160.32977777777776,8,0.1820277777777778,160742.9225142272,289.5142222222222,7,0.042805555555555555,673743.8199032834,493.89155555555556,4,0.0,7468894.106441339,477.56572137940344,142.50666666666666,8,0.0,749513.4366431282,404.22044444444447,12,0.0,3949063.3825719594,0.025,0.025
primal_step_size,24.599999999977626,0.027790523595757573,0.9480317944521224,1.051064775369674,16.479840500003775,546.485986301041,161.0497777777778,7,0.1820277777777778,162329.98931468598,289.38755555555554,7,0.042805555555555555,673079.2835912562,496.66488888888887,2,0.0,7477481.715600438,479.5614671428426,174.2511111111111,8,0.0,911460.5590546096,422.9048888888889,13,0.0,4106032.4087230037,0.025,0.05
primal_step_size,22.899999999979173,0.021705237335280347,0.9484905792569159,1.0512673353073876,15.33353740000166,545.5666651580008,160.63644444444444,5,0.18408333333333332,160061.32408507523,296.8608888888889,7,0.04502777777777778,679632.4549234897,498.5848888888889,2,0.0,7483443.732835617,476.0225487133707,302.00533333333334,12,0.0,1558568.6990655344,327.30044444444445,24,0.0,3297671.6116194427,0.025,0.1
primal_step_size,22.699999999979354,0.028878802729190134,0.9476873822530095,1.0518069628650029,14.255298799995217,549.7159354207838,167.09,6,0.1936388888888889,166039.7234931891,300.9942222222222,4,0.04502777777777778,712449.8332801898,483.616,2,0.0,7436773.558588067,480.72858012668087,342.6831111111111,29,0.0,1763687.7931524315,349.3093333333333,34,0.0,3472918.864466149,0.025,0.25
