dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations
1,Llama-3.1-8B,7138,7138,9993.2,9.9932,0
1,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,0
1,Llama-3.1-405B,888,7104,9945.6,9.9456,0
1,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,0
1,Qwen3-235B-A22B,888,7104,9945.6,9.9456,0
100,Llama-3.1-8B,1750,1750,2450.0,2.45,10
100,Llama-3.1-70B,477,1908,2671.2,2.6712,8
100,Llama-3.1-405B,222,1776,2486.4,2.4864,7
100,Qwen3-30B-A3B,1031,2062,2886.8,2.8868,9
100,Qwen3-235B-A22B,256,2048,2867.2,2.8672,7
101,Llama-3.1-8B,1775,1775,2485.0,2.485,10
101,Llama-3.1-70B,487,1948,2727.2,2.7272,8
101,Llama-3.1-405B,222,1776,2486.4,2.4864,7
101,Qwen3-30B-A3B,1045,2090,2926.0,2.926,9
101,Qwen3-235B-A22B,263,2104,2945.6,2.9455999999999998,7
105,Llama-3.1-8B,1754,1754,2455.6,2.4556,10
105,Llama-3.1-70B,446,1784,2497.6,2.4976,8
105,Llama-3.1-405B,222,1776,2486.4,2.4864,7
105,Qwen3-30B-A3B,1042,2084,2917.6,2.9175999999999997,9
105,Qwen3-235B-A22B,260,2080,2912.0,2.912,7
108,Llama-3.1-8B,1747,1747,2445.8,2.4458,10
108,Llama-3.1-70B,477,1908,2671.2,2.6712,8
108,Llama-3.1-405B,222,1776,2486.4,2.4864,7
108,Qwen3-30B-A3B,1031,2062,2886.8,2.8868,9
108,Qwen3-235B-A22B,256,2048,2867.2,2.8672,7
13,Llama-3.1-8B,5157,5157,7219.8,7.2198,9
13,Llama-3.1-70B,1308,5232,7324.8,7.3248,7
13,Llama-3.1-405B,700,5600,7840.0,7.84,6
13,Qwen3-30B-A3B,3083,6166,8632.4,8.6324,7
13,Qwen3-235B-A22B,704,5632,7884.8,7.8848,5
135,Llama-3.1-8B,3001,3001,4201.4,4.2014,10
135,Llama-3.1-70B,737,2948,4127.2,4.1272,8
135,Llama-3.1-405B,360,2880,4032.0,4.032,7
135,Qwen3-30B-A3B,1714,3428,4799.2,4.7992,9
135,Qwen3-235B-A22B,423,3384,4737.6,4.7376000000000005,7
151,Llama-3.1-8B,1088,1088,1523.2,1.5232,11
151,Llama-3.1-70B,289,1156,1618.4,1.6184,8
151,Llama-3.1-405B,143,1144,1601.6,1.6016,8
