param_name,param_value,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax,wall_time_s,avg_power_kw_per_phase__z1_sw,avg_batch__Llama-3.1-8B,n_batch_changes__Llama-3.1-8B,itl_violation_frac__Llama-3.1-8B,avg_throughput_tokens_per_s__Llama-3.1-8B,avg_power_kw_per_phase__z2_nw,avg_batch__Qwen3-30B-A3B,n_batch_changes__Qwen3-30B-A3B,itl_violation_frac__Qwen3-30B-A3B,avg_throughput_tokens_per_s__Qwen3-30B-A3B,avg_power_kw_per_phase__z3_se,avg_batch__Llama-3.1-405B,n_batch_changes__Llama-3.1-405B,itl_violation_frac__Llama-3.1-405B,avg_throughput_tokens_per_s__Llama-3.1-405B,avg_batch__Llama-3.1-70B,n_batch_changes__Llama-3.1-70B,itl_violation_frac__Llama-3.1-70B,avg_throughput_tokens_per_s__Llama-3.1-70B,avg_power_kw_per_phase__z4_ne,avg_batch__Qwen3-235B-A22B,n_batch_changes__Qwen3-235B-A22B,itl_violation_frac__Qwen3-235B-A22B,avg_throughput_tokens_per_s__Qwen3-235B-A22B
primal_step_size,0.01,2630.5999999976075,30.331079736521275,0.9413756203931013,1.0504067510915047,39.001684800001385,329.55728875260326,9.21,4,0.0,138241.85435561274,283.8732951916835,9.37888888888889,4,0.0,72155.21004109412,350.90382378444326,8.318888888888889,4,0.0,8509.388059984247,8.656666666666666,4,0.0,14998.73098744695,376.7854910324507,8.816666666666666,4,0.0,22867.88826236208
primal_step_size,0.025,2630.5999999976075,30.154797709192824,0.9413756203931013,1.0504067510915047,27.935987299999397,329.5296903983438,8.825555555555555,4,0.0,135488.3045495584,283.84816165251897,8.932222222222222,4,0.0,70965.61868048305,350.87432274451254,8.203333333333333,4,0.0,8438.375952624316,8.401111111111112,4,0.0,14740.12262993411,376.7385458746809,8.527777777777779,4,0.0,22499.39355445085
primal_step_size,0.05,2630.5999999976075,30.0679294360123,0.9413756203931013,1.0504067510915047,29.126024999997753,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.8338996200813,8.70111111111111,4,0.0,70340.80939040231,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
primal_step_size,0.1,2630.5999999976075,30.01750830823599,0.9413756203931013,1.0504067510915047,28.45026620000135,329.5033898852346,8.454444444444444,4,0.0,132759.6872450759,283.82079401959686,8.516666666666667,4,0.0,69831.92724858275,350.8501622305617,8.078888888888889,4,0.0,8366.598936973714,8.205555555555556,4,0.0,14534.88653855125,376.69749455101675,8.274444444444445,4,0.0,22175.60271825188
primal_step_size,0.25,2639.2999999975996,29.97582385085382,0.9413756203931013,1.0504067510915047,28.593125799998234,329.5522918661717,8.75,6,0.0,137462.25040175795,283.9049243373274,8.716666666666667,6,0.0,71135.98924487572,350.84263107237274,8.054444444444444,3,0.0,8347.795081199947,8.112222222222222,4,0.0,14442.604311519679,377.18738701023284,8.87888888888889,5,0.0,23252.52386810761
voltage_dual_step_size,0.06,2630.5999999976075,30.341619232377145,0.9413756203931013,1.0504067510915047,27.76976470000227,329.5609888126602,9.276666666666667,4,0.0,138666.00183026947,283.8749419015827,9.412222222222223,4,0.0,72237.57405191853,350.90495589466065,8.321111111111112,4,0.0,8511.481479046639,8.665555555555555,4,0.0,15008.516397313233,376.78785871522757,8.83,4,0.0,22883.097246815145
voltage_dual_step_size,0.15,2630.5999999976075,30.157876360598408,0.9413756203931013,1.0504067510915047,27.647339200004353,329.5298514800017,8.827777777777778,4,0.0,135516.9617600945,283.84869738606415,8.952222222222222,4,0.0,71009.8872230825,350.87615145108725,8.205555555555556,4,0.0,8440.491769123442,8.427777777777777,4,0.0,14762.259482081192,376.7385458746809,8.527777777777779,4,0.0,22499.39355445085
voltage_dual_step_size,0.3,2630.5999999976075,30.0679294360123,0.9413756203931013,1.0504067510915047,27.1588425000009,329.5146372597039,8.603333333333333,4,0.0,133897.08189814657,283.8338996200813,8.70111111111111,4,0.0,70340.80939040231,350.8604274392231,8.13,4,0.0,8397.409496207094,8.285555555555556,4,0.0,14621.23047817907,376.71319410528906,8.363333333333333,4,0.0,22290.82324633377
voltage_dual_step_size,0.6,2630.5999999976075,30.01432350745356,0.9413756203931013,1.0504067510915047,28.77419219999865,329.502227955417,8.438888888888888,4,0.0,132617.13719076163,283.82028840544706,8.507777777777777,4,0.0,69807.51825310351,350.8500097608142,8.078888888888889,4,0.0,8366.598936973714,8.203333333333333,4,0.0,14531.729610397806,376.69612465714425,8.247777777777777,4,0.0,22141.73209846488
voltage_dual_step_size,1.5,2630.5999999976075,29.96467881392047,0.9413756203931013,1.0504067510915047,30.626174299999548,329.4881726125522,8.254444444444445,4,0.0,131239.1092056905,283.8048234128356,8.296666666666667,4,0.0,69215.2008953608,350.8425374693354,8.054444444444444,3,0.0,8347.795081199947,8.103333333333333,4,0.0,14431.165521168228,376.67686161873644,8.143333333333333,4,0.0,22010.25140950879
