param_name,param_value,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax,wall_time_s,avg_power_kw_per_phase___single,avg_batch__Llama-3.1-405B,n_batch_changes__Llama-3.1-405B,itl_violation_frac__Llama-3.1-405B,avg_throughput_tokens_per_s__Llama-3.1-405B,avg_batch__Llama-3.1-70B,n_batch_changes__Llama-3.1-70B,itl_violation_frac__Llama-3.1-70B,avg_throughput_tokens_per_s__Llama-3.1-70B,avg_batch__Llama-3.1-8B,n_batch_changes__Llama-3.1-8B,itl_violation_frac__Llama-3.1-8B,avg_throughput_tokens_per_s__Llama-3.1-8B,avg_batch__Qwen3-235B-A22B,n_batch_changes__Qwen3-235B-A22B,itl_violation_frac__Qwen3-235B-A22B,avg_throughput_tokens_per_s__Qwen3-235B-A22B,avg_batch__Qwen3-30B-A3B,n_batch_changes__Qwen3-30B-A3B,itl_violation_frac__Qwen3-30B-A3B,avg_throughput_tokens_per_s__Qwen3-30B-A3B
primal_step_size,0.02,49.59999999995489,0.09576741529180816,0.9430375115590975,1.0331554119377442,10.311944400000357,1282.5131443798298,41.67888888888889,4,0.0,65410.00772156914,49.227777777777774,6,0.0,277267.9016530167,94.30444444444444,14,0.0,3237585.7662495365,43.61644444444445,4,0.0,259827.39185820136,141.86311111111112,9,0.0,2027547.1459794175
primal_step_size,0.05,47.19999999995707,0.06862472021920737,0.9453359135831161,1.0325317471061495,12.070793999999296,1307.1019177604778,43.263333333333335,6,0.0045,66054.14112585245,68.90088888888889,9,0.0006666666666666666,307267.9254738864,271.7271111111111,14,0.0,5151703.316014396,50.47288888888889,7,0.0,292078.57712089294,270.496,18,0.0,2913735.1426132037
primal_step_size,0.1,64.49999999994134,0.0973764347259369,0.9429113266901519,1.0323825717534663,11.42393439999978,1315.7095144914645,59.49666666666667,4,0.04477777777777778,73281.50792346522,110.82844444444444,11,0.011027777777777777,362567.9720970457,362.19377777777777,22,0.0,6185598.249772751,83.38444444444444,13,0.0,454706.96949305356,238.53822222222223,23,0.0,2526328.561981948
primal_step_size,0.2,105.89999999990368,0.1589178576068353,0.9447451872721507,1.0326678904815638,10.342626199999359,1333.9178594702687,68.96088888888889,6,0.06419444444444444,80477.93147042696,179.596,13,0.021138888888888888,508773.0685858007,433.31155555555557,20,0.0,6800686.440806568,125.95644444444444,17,0.0,669226.9054197248,299.3582222222222,19,0.0,2986058.5706761875
primal_step_size,0.5,124.69999999988659,0.18758531825043734,0.9436554106121681,1.0322839183602248,12.932931800000006,1354.394887445707,104.25644444444444,22,0.10375,114984.41173465534,277.24044444444445,12,0.04011111111111111,656098.3115865174,392.6071111111111,49,0.0,6232442.192242666,246.36044444444445,34,0.0,1276056.9293449086,337.70044444444443,26,0.0,3290235.466268278
voltage_dual_step_size,0.2,112.49999999989768,0.24105366490644306,0.9394020131354498,1.0326678904815638,10.114835600001243,1319.1146019227112,59.68555555555555,6,0.04497222222222222,73471.94543014042,111.42844444444444,11,0.01113888888888889,365046.3046627796,392.50933333333336,13,0.0,6451362.250740544,84.20666666666666,25,0.0,459321.2853329024,241.7271111111111,22,0.0,2560202.624366049
voltage_dual_step_size,0.5,87.79999999992015,0.14692198493444275,0.9429113266901513,1.0326678904815638,12.667234799999278,1317.184409450229,59.57666666666667,5,0.04491666666666667,73355.09499030124,110.65733333333333,11,0.011027777777777777,361168.0996823069,380.98266666666666,22,0.0,6371644.5880208565,83.56888888888889,11,0.0,455813.6057414161,237.12488888888888,15,0.0,2517463.366346399
voltage_dual_step_size,1.0,64.49999999994134,0.0973764347259369,0.9429113266901519,1.0323825717534663,10.184699100000216,1315.7095144914645,59.49666666666667,4,0.04477777777777778,73281.50792346522,110.82844444444444,11,0.011027777777777777,362567.9720970457,362.19377777777777,22,0.0,6185598.249772751,83.38444444444444,13,0.0,454706.96949305356,238.53822222222223,23,0.0,2526328.561981948
voltage_dual_step_size,2.0,33.79999999996926,0.052579475800782226,0.9429113266901509,1.0324972679128936,10.127595699999802,1313.4386982013773,59.43,5,0.04463888888888889,73230.31538007657,110.78622222222222,11,0.011,362997.60783394484,347.82933333333335,38,0.0,5950277.383649134,83.55777777777777,9,0.0,455375.6967889977,238.72266666666667,20,0.0,2523854.5364876958
voltage_dual_step_size,5.0,14.999999999986358,0.021223408274213904,0.9461868208927354,1.033969113813547,12.931267800000569,1312.2052800389683,59.40555555555556,4,0.04463888888888889,73212.35477599627,112.32622222222223,11,0.011,373643.2320488669,316.0226666666667,23,0.0,5395193.987250714,87.36222222222223,12,0.0,473912.77051075274,253.70266666666666,22,0.0,2647369.6802216354
latency_dual_step_size,0.1,64.49999999994134,0.0973764347259369,0.9429113266901519,1.0323825717534663,8.488948500000333,1315.7095144914645,59.49666666666667,4,0.04477777777777778,73281.50792346522,110.82844444444444,11,0.011027777777777777,362567.9720970457,362.19377777777777,22,0.0,6185598.249772751,83.38444444444444,13,0.0,454706.96949305356,238.53822222222223,23,0.0,2526328.561981948
latency_dual_step_size,1.0,64.49999999994134,0.0973764347259369,0.9429113266901519,1.0323825717534663,9.848236100000577,1315.7095144914645,59.49666666666667,4,0.04477777777777778,73281.50792346522,110.82844444444444,11,0.011027777777777777,362567.9720970457,362.19377777777777,22,0.0,6185598.249772751,83.38444444444444,13,0.0,454706.96949305356,238.53822222222223,23,0.0,2526328.561981948
latency_dual_step_size,10.0,64.89999999994097,0.10299989116428855,0.9423815704586324,1.0323825717534663,11.23851459999969,1315.7271304951144,59.40777777777778,7,0.04455555555555556,73236.768444553,110.83733333333333,11,0.011027777777777777,362639.5910120265,362.36266666666666,21,0.0,6187389.7848521685,83.41333333333333,13,0.0,454852.89947540505,238.596,22,0.0,2526751.9314799663
latency_dual_step_size,50.0,64.89999999994097,0.10190347612478079,0.9423815704586324,1.0323825717534663,10.529056800000035,1315.4174769436315,54.57222222222222,85,0.03194444444444444,71090.74610896943,110.84177777777778,11,0.011027777777777777,362670.51300573,362.4337777777778,21,0.0,6187605.195441147,83.44888888888889,13,0.0,455032.58652639645,238.6671111111111,22,0.0,2527330.5446639904
latency_dual_step_size,100.0,64.99999999994088,0.09831266471680329,0.9429485468688085,1.0323825717534663,7.7457708999991155,1315.003161181996,48.20777777777778,115,0.016805555555555556,68139.45417043247,110.87733333333334,10,0.011027777777777777,362700.4436860827,362.38044444444444,22,0.0,6186797.807373414,83.44888888888889,13,0.0,455032.58652639645,238.6448888888889,23,0.0,2527041.8386578243
w_throughput,0.0,11.999999999989086,0.013001662641865395,0.9452317721979302,1.034701801331446,17.500687499999913,1245.426064313273,41.66111111111111,4,0.0,65400.83733856042,41.803333333333335,4,0.0,270301.23496922344,41.66111111111111,4,0.0,2062023.9753546752,42.24777777777778,4,0.0,250931.81002177842,41.79222222222222,4,0.0,917935.3837845883
w_throughput,0.0001,17.299999999984266,0.014976081481499717,0.9467421255294686,1.0337410304006138,25.659531100000095,1260.0281541455504,41.59888888888889,4,0.0,65297.266587583144,41.62777777777778,4,0.0,268904.3946460826,61.507555555555555,7,0.0,2422162.4179185275,41.77444444444444,4,0.0,248064.42609148502,63.153777777777776,6,0.0,1253176.8897152832
w_throughput,0.0005,32.39999999997053,0.045092851395100005,0.9453359135831161,1.0328856729469835,25.011815100000604,1303.5448230080042,41.62555555555556,5,2.777777777777778e-05,65296.179570319415,66.50977777777777,7,0.0,305105.29210270836,265.54488888888886,16,0.0,5115529.2559783375,51.068444444444445,7,0.0,295033.6918936801,209.39822222222222,27,0.0,2405756.2691481262
w_throughput,0.001,64.49999999994134,0.0973764347259369,0.9429113266901519,1.0323825717534663,21.293365999999878,1315.7095144914645,59.49666666666667,4,0.04477777777777778,73281.50792346522,110.82844444444444,11,0.011027777777777777,362567.9720970457,362.19377777777777,22,0.0,6185598.249772751,83.38444444444444,13,0.0,454706.96949305356,238.53822222222223,23,0.0,2526328.561981948
w_throughput,0.005,225.89999999979455,0.40607453132120397,0.9432877180267513,1.0315364823954336,22.12098210000113,1365.3978211485478,135.01644444444443,22,0.14827777777777779,142301.10956398447,302.8982222222222,13,0.04544444444444445,694707.348031384,359.06044444444444,52,0.0,5610115.20019374,463.95377777777776,4,0.0,2375346.589885402,347.44933333333336,15,0.0,3363935.934797994
w_throughput,0.01,281.8999999997436,0.5873481593720031,0.9428751320484215,1.0313339627037619,23.798176399999647,1375.890766802519,186.27644444444445,31,0.22083333333333333,226463.0130813312,338.6271111111111,13,0.052222222222222225,748917.5243390407,370.9471111111111,121,0.0,5836275.05202959,479.10044444444446,6,0.0,2452248.674463433,361.79822222222225,38,0.0,3479379.329439169
w_switch,0.2,61.99999999994361,0.09591140792749445,0.9429485468688085,1.0323825717534663,20.81953600000088,1317.2491306752472,60.776666666666664,4,0.048,73888.64795119416,115.38622222222222,10,0.011916666666666667,374736.3061310646,364.4448888888889,26,0.0,6208573.819883784,86.81333333333333,11,0.0,471620.0686203808,248.54266666666666,25,0.0,2603777.2793743107
w_switch,0.5,60.09999999994534,0.08955083026724733,0.9444459454207639,1.0323825717534663,18.878487800000585,1316.4049818112137,60.31444444444445,4,0.04683333333333333,73688.61578182843,113.69733333333333,11,0.01138888888888889,370237.13003505487,363.12266666666665,27,0.0,6186252.798061757,85.48444444444445,10,0.0,465016.20965951466,244.74488888888888,22,0.0,2574119.625737692
w_switch,1.0,64.49999999994134,0.0973764347259369,0.9429113266901519,1.0323825717534663,21.341888400000244,1315.7095144914645,59.49666666666667,4,0.04477777777777778,73281.50792346522,110.82844444444444,11,0.011027777777777777,362567.9720970457,362.19377777777777,22,0.0,6185598.249772751,83.38444444444444,13,0.0,454706.96949305356,238.53822222222223,23,0.0,2526328.561981948
w_switch,2.0,58.399999999946886,0.09048327689333167,0.9429113266901509,1.0324972679128936,20.84156139999868,1313.8038871807494,57.845555555555556,6,0.04058333333333333,72585.69318025306,106.17377777777777,10,0.010388888888888888,353954.74231178476,355.2671111111111,24,0.0,6120442.0446456075,78.94444444444444,10,0.0,432575.6050274393,226.08044444444445,15,0.0,2432693.355631911
w_switch,5.0,51.49999999995316,0.07711120137974,0.9429113266901503,1.0330103339550982,21.423977399999785,1311.8328860407223,52.99444444444445,5,0.02786111111111111,70437.34791450178,93.44933333333333,10,0.007166666666666667,336192.0145736367,331.1115555555556,28,0.0,5878608.280841902,68.96222222222222,9,0.0,382667.1992727446,204.556,31,0.0,2297043.1597804246
