bus_z1_sw,bus_z2_nw,bus_z3_se,bus_z4_ne,violation_time_s,integral_violation_pu_s,worst_vmin,worst_vmax,wall_time_s
18,25,57,105,0.30000000000000426,1.2091581085194207e-05,0.9585726188185438,1.0500724459251094,0.560365899997123
18,23,57,105,0.5000000000000071,2.505916135049393e-05,0.9586048733779141,1.0501074000816057,0.4487158999982057
18,21,57,105,0.6000000000000085,3.982771428234833e-05,0.9586306877347093,1.0501352357706653,0.5600420999980997
18,42,57,105,0.70000000000001,5.001968701559072e-05,0.9586440916209138,1.0501499084890453,0.4774522000006982
18,35,57,105,0.70000000000001,5.022985332143808e-05,0.9586448777126408,1.0501503644498158,0.47491460000310326
18,40,57,105,0.70000000000001,5.0572152073469936e-05,0.9586450512852459,1.0501507751556056,0.6157517999963602
18,25,57,101,9.000000000000128,0.0006419456939303772,0.9587658943317526,1.0503021414351326,0.5056469999981346
18,23,57,101,13.300000000000189,0.0010366783092412048,0.9587981137196123,1.0503370552503866,0.46884919999865815
13,25,57,105,13.600000000000193,0.0010677880917738065,0.9588197250502225,1.0503387690948922,0.5139494000031846
18,21,57,101,16.600000000000236,0.001451115074251462,0.9588238996783841,1.05036485857192,0.4968998999975156
13,23,57,105,17.50000000000025,0.001610355133254871,0.9588517107550494,1.0503734319605271,0.46139270000276156
18,42,57,101,18.000000000000256,0.0017033592207753598,0.9588372805528322,1.0503795054111564,0.592242200000328
18,35,57,101,18.000000000000256,0.0017153315567431738,0.9588380685970541,1.0503799637160267,0.5798351999983424
18,40,57,101,18.000000000000256,0.0017208794054474974,0.9588382406533368,1.0503803725864331,0.569547799997963
13,21,57,105,20.800000000000296,0.002138559646638169,0.9588774031135444,1.0504011388967984,0.698091199999908
13,42,57,105,23.000000000000327,0.0024605598578907664,0.9588908447124911,1.0504158943185753,0.5502329000009922
13,35,57,105,23.000000000000327,0.002474695526398442,0.9588916017312302,1.0504162987771464,0.40931999999884283
13,40,57,105,23.000000000000327,0.0024817953477406143,0.9588917671558231,1.0504167100657154,0.4104881999955978
18,25,57,97,33.10000000000047,0.004319831291577109,0.9589195225788686,1.0504832637751056,0.5496404000004986
18,25,57,98,36.40000000000052,0.005200082948561143,0.958940480828513,1.0505083103467505,0.5646252000005916
18,23,57,97,38.300000000000544,0.005577597236248212,0.9589517162721227,1.050517775671877,0.4817430000039167
18,25,57,100,39.50000000000056,0.005897237430963725,0.9589531475724327,1.0505272568585746,0.46133869999903254
18,23,57,98,41.900000000000595,0.006585817964585776,0.9589726715639899,1.050542697362238,0.5400728000022355
18,21,57,97,42.0000000000006,0.006711630331582226,0.9589774829028693,1.0505451635901901,0.4678929000001517
18,23,57,100,44.30000000000063,0.007371941781386976,0.9589853369034498,1.050561641668936,0.4994797999970615
18,42,57,97,44.40000000000063,0.007341131630298297,0.9589908537358911,1.0505595954817122,0.5512642999965465
18,35,57,97,44.50000000000063,0.0073715751780897,0.9589916415005066,1.0505600443452625,0.4842757000005804
18,40,57,97,44.50000000000063,0.007384810710039063,0.958991812960772,1.050560448062175,0.5733681999990949
13,25,57,101,45.00000000000064,0.0077200414870727254,0.9590127484776981,1.0505670811008687,0.43676140000025043
18,21,57,100,45.20000000000064,0.008160255543301735,0.9590111012465133,1.050589026463092,0.5055719999945723
18,21,57,98,45.300000000000644,0.007813000349205202,0.9589984366336214,1.0505700834468554,0.5615517000042018
18,42,57,98,45.300000000000644,0.008058210739057863,0.95901180927033,1.050584517498847,0.6289156999991974
18,35,57,98,45.400000000000645,0.00808940180497784,0.9590125963161434,1.0505849655538575,0.5490917000061017
18,40,57,98,45.400000000000645,0.008102821829339527,0.9590127679010235,1.050585369384218,0.5398917999991681
18,42,57,100,45.70000000000065,0.008389917365520024,0.9590244734786829,1.050603459688529,0.50407119999727
13,23,57,101,45.80000000000065,0.008396546074695229,0.9590446995675685,1.050601213998673,0.4099514000045019
18,35,57,100,46.000000000000654,0.008421925215640965,0.9590252607771382,1.0506039080958924,0.528741699999955
18,40,57,100,46.000000000000654,0.008435269619137039,0.9590254321325765,1.0506043116200527,0.4954204999958165
13,21,57,101,47.90000000000068,0.00874467326932097,0.9590703638919833,1.0506284968001447,0.8024863000027835
13,42,57,101,48.60000000000069,0.00916850466467007,0.958956206175778,1.050643021226883,0.4320380999997724
13,35,57,101,48.60000000000069,0.009201091543586013,0.9589566042773697,1.0506434194145668,0.4514383000059752
18,25,57,99,48.60000000000069,0.00920818654700186,0.9589320444386434,1.0506463872444107,0.5234025000027032
13,40,57,101,48.70000000000069,0.009214709370303196,0.9589569462640452,1.0506438245833492,0.507322400000703
18,21,57,99,49.4000000000007,0.010766884409680454,0.9589734274634765,1.050708077115775,0.6164286999992328
18,23,57,99,49.80000000000071,0.010167566499310554,0.9589480667332732,1.050680751617267,0.5335542999964673
18,42,57,99,50.00000000000071,0.011134959549556346,0.9589870239298073,1.0507224735354266,0.5237896000035107
18,35,57,99,50.00000000000071,0.011170196770696798,0.9589874651638545,1.0507229199904695,0.5692255000030855
18,40,57,99,50.00000000000071,0.011184466206109493,0.958987806508238,1.0507233224061614,0.4726710000031744
13,25,57,97,51.40000000000073,0.011767117763646775,0.959024296300774,1.0507452963238546,0.35306210000271676
13,25,57,98,52.10000000000074,0.012567738680400798,0.9590450964019198,1.0507701327711636,0.4917423999941093
13,23,57,97,53.200000000000756,0.013028743254408599,0.9590557752927519,1.0507793234817129,0.4418214000033913
13,25,57,100,53.800000000000765,0.013259437319461609,0.9590569698717782,1.0507890172106957,0.5270603000026313
13,23,57,98,54.20000000000077,0.0139362184142624,0.959076572534585,1.0508041561086767,0.5101585000011255
13,21,57,97,54.30000000000077,0.014096413292906807,0.959081031463675,1.05080652285959,0.7988383999982034
13,21,57,98,54.90000000000078,0.01514726512882933,0.9590701994348761,1.0508313536283558,0.8590010999978404
13,42,57,97,55.00000000000078,0.014831076404777488,0.959064884814133,1.050821003832468,0.44431949999852804
13,23,57,100,55.10000000000078,0.014859274303718396,0.9590586461898966,1.0508230384258954,0.3459950000033132
13,35,57,97,55.10000000000078,0.014867448275114603,0.9590653000667784,1.0508214006496028,0.5179131999975652
13,40,57,97,55.10000000000078,0.014883032118989838,0.9590656329109075,1.0508218042724229,0.41406450000067707
13,35,57,98,55.70000000000079,0.0157205835521117,0.9590842570406379,1.0508462327157897,0.42906670000229497
13,40,57,98,55.70000000000079,0.01573633043517795,0.9590845928033289,1.0508466364517215,0.4451631999982055
13,42,57,98,55.70000000000079,0.01587036599968437,0.9590838479596305,1.0508458366778242,0.4930032999982359
13,21,57,100,55.70000000000079,0.01587591454222273,0.9590820797818598,1.0508502348499396,1.0393162000036682
13,42,57,100,56.000000000000796,0.016646991498535605,0.9590957279090812,1.0508647172901062,0.6534851000033086
13,35,57,100,56.1000000000008,0.016683887740793338,0.9590961373249829,1.0508651136202642,0.4513029000008828
13,40,57,100,56.2000000000008,0.016699777514213913,0.9590964728219993,1.05086551708856,0.40948479999497067
13,25,57,99,57.50000000000082,0.018681491591621444,0.9591294352540773,1.0509077190095584,0.42343390000314685
13,23,57,99,57.90000000000082,0.02036749742192725,0.959152502314315,1.0509417203445701,0.4859031000014511
13,21,57,99,58.40000000000083,0.02162072497284839,0.9591781852471084,1.0509689022487185,0.7409671999994316
13,42,57,99,58.800000000000836,0.0224006473833073,0.9591916098742301,1.050983379265074,0.5076212000058149
13,35,57,99,58.800000000000836,0.02243892870042919,0.9591924134769533,1.0509837748363424,0.3503995999999461
13,40,57,99,58.800000000000836,0.02245567240910181,0.9591925532661004,1.050984178000414,0.4228067000003648
18,25,56,105,60.00000000000085,0.193772856651394,0.9608876860936653,1.0527475817651786,0.5539671999940765
18,23,56,105,60.00000000000085,0.1992070205526853,0.9609189851092705,1.0527821899462657,0.5682675999996718
18,21,56,105,60.00000000000085,0.20367643250379225,0.9609440557988037,1.052809795339395,0.4865968000012799
18,25,55,105,60.00000000000085,0.20504702282190473,0.9609551064436456,1.0528161019019455,0.4252113000038662
18,42,56,105,60.00000000000085,0.20543755860013208,0.9609582021705682,1.0528240178493815,0.46961390000069514
18,35,56,105,60.00000000000085,0.20554783529681409,0.9609582678210036,1.0528247448667976,0.4762101999949664
18,40,56,105,60.00000000000085,0.2055936375682893,0.9609587762090226,1.0528250046717833,0.5566402999975253
8,25,57,105,60.00000000000085,0.20953414024805905,0.9609221942019974,1.05288751336239,0.45116190000408096
18,23,55,105,60.00000000000085,0.210191650886567,0.9609863927679207,1.0528506971852138,0.5500491999991937
8,23,57,105,60.00000000000085,0.21421597230286538,0.9609530385970079,1.0529216099492416,0.4000691999972332
18,21,55,105,60.00000000000085,0.21479968444283773,0.9610114539081448,1.0528782930001541,0.47211710000556195
18,25,54,105,60.00000000000085,0.2171387578066093,0.9610272804743419,1.0528898100472353,0.561340599997493
18,42,55,105,60.00000000000085,0.2173551799231321,0.9610255942295359,1.0528925096377977,0.44723610000073677
18,35,55,105,60.00000000000085,0.21746827632721066,0.96102566011302,1.0528932369061428,0.5358918999991147
18,40,55,105,60.00000000000085,0.2175162078483701,0.9610261680342241,1.052893496199534,0.5161719000025187
8,21,57,105,60.00000000000085,0.21881897698984412,0.9609778386987085,1.0529489137028414,0.44250869999814313
8,42,57,105,60.00000000000085,0.22159326901889723,0.9609917938807372,1.0529630013941254,0.477959900003043
8,35,57,105,60.00000000000085,0.2217058304709965,0.9609918739339564,1.052963701942745,0.4531234000023687
8,40,57,105,60.00000000000085,0.2217493941300824,0.9609923499791436,1.0529639461611195,0.4210719999973662
18,23,54,105,60.00000000000085,0.222875024902667,0.9610585533461437,1.0529243915729565,0.5363311999972211
18,21,54,105,60.00000000000085,0.22743404575929577,0.9610836042241564,1.0529519770069244,0.5708182999951532
18,25,56,101,60.00000000000085,0.2299115907597962,0.9610754985412194,1.0529715758037157,0.5823256000003312
18,42,54,105,60.00000000000085,0.2299834897012047,0.9610977375745312,1.0529661867452056,0.5662589999992633
18,35,54,105,60.00000000000085,0.23007124139477253,0.9610978038259956,1.0529669144115121,0.4930806000047596
18,40,54,105,60.00000000000085,0.2301503464311496,0.9610983112226714,1.0529671731302048,0.5423550999985309
18,23,56,101,60.00000000000085,0.2360794042345408,0.9611067644923394,1.0530061452378934,0.5232207000008202
